Channel_Name,Subscribers_Count,Videos_count
Data Science with Partha,48,15 
ProjectPro - Data Science Projects,399,164 
DATA SCIENCE SUMMIT EUROPE 2016,185,48 
Datascience SS,10,3 
Introduction to Data Analytics,14400,51 
Colaberry School Of Data Science & Analytics,357,89 
Data Science After Dark,19,7 
Data Science Tales,14,6 
Art of Visualization,58000,253 
Data Science Lab,3,1 
DataScience.LA,3790,70 
Data Science Cafe,249,17 
Harvard Data Science Initiative,486,36 
StatQuest with Josh Starmer,490000,199 
Data School,173000,100 
Data Professor,67800,201 
Data Science for Everyone,139,98 
Data Science Research Perú,2320,77 
Caribou Data Science,169,"1,683 "
Data Science Conference,677,137 
Galvanize Data Science,1190,635 
"Data Science Initiative, Brown University",30,1 
Fusion DataScience,598,126 
Clutch Data Science,7,4 
Financial Data Science,347,75 
Data Science Alkmaar,1,7 
Anime Data Science,17,1 
ICDSS  Imperial College Data Science Society,241,15 
data science,153,5 
LSE Data Science Institute,14,3 
Data Science Chile,214,14 
Data Science Snippets,41,14 
Data Science Show,6610,141 
UVA School of Data Science,139,86 
ProgramX: Programming for Data Science,140,75 
Data-Scientist Journey With ANR,993,68 
Data Science with Divyansh,10,35 
Satyaki Mallick - Data Science in Netherlands,433,89 
BYU-I Data Science,1,10 
Data Science Simple,14,9 
Association of Data Scientists,133,4 
Connor McAnuff Data Science,34,2 
Columbus Data Science,6,3 
Krish Naik,365000,"1,029 "
Foundations of Data Science,1190,81 
Polimi Data Scientists,47,12 
Frankfurt Data Science,805,30 
Dr. Data Science,260,17 
Parigyan - The Data Science Society GIM,9,7 
UNC Charlotte School of Data Science,45,35 
BHF Data Science Centre,2,7 
DATA SCIENCE REVOLUTION,4,1 
Data Science Club at Sac State,4,2 
Data Science Foundation,10,5 
Data Science Reading Club,15,10 
learn data science with krishna,37,4 
The Data Science Mentor,1600,13 
Data Science Galaxy,1670,24 
EducaLab Becoming a Data Science Professional,1,5 
LearningFuze Coding & Data Science Bootcamp,245,70 
al-Fardthakh Tech & Data Science,1,3 
Bennett Data Science,21,19 
Monash Data Science,81,1 
DataScience,550,20 
Level Up Your Data Science,12,12 
Towards Data Science,10300,109 
Data Science Melbourne,317,18 
Simplified Data Science,68,2 
Data Science with Sharan,2280,90 
Data Science Superhero,13,5 
The Power of Machine Learning & Data Science,210,19 
SPPU-DataScience-BVCOEW,39,5 
NeEDS - Network of European Data Scientists,266,31 
Boston Data Science Meetup,33,8 
IIR Data Science,45,5 
Data Science Initiative - The Hague,6,4 
The Center of Applied Data Science,28,26 
Data Science In Education Using R,7,1 
Data Science for Juniors,15,9 
Data Science & Machine Learning - MLMINDS,7970,38 
Data Science Courses,15000,81 
Data Science with Dr. Wasim,66,121 
DataScience SG,113,34 
Data Science in Mechanical Engineering,42,3 
Scientific Data,415,77 
Data Science Dose,592,16 
Vanderbilt Data Science,63,39 
World Data Science Institute,286,3 
Data Science with Harshit,5260,39 
Spatial Data Science,3,1 
Data Science for Social Good PT,63,22 
Data Science with Raghav,555,16 
Data Science Theory,300,17 
Journey Towards Data Science,47,7 
Learnbay Data Science and AI,1640,216 
Data Jango - The Data scientist factory,406,37 
Data Science for All,8460,300 
Becoming a Data Scientist,4019,71 
Cardiovascular Data Science Lecture Series at UCLA,140,98 
Data Science Guy,14500,30 
Data Science,15,86 
Data Science and Machine Learning,13,6 
Nhumu Data Science,4,3 
Lyon Data Science,869,18 
WQU Data Science Module,6440,1 
The Foundations of Biomedical Data Science,1880,69 
Data Science for Materials Discovery,21,9 
DataCamp,114000,"1,203 "
codebasics,309000,394 
Learn Data Science,1170,62 
Data Science Cornwall,52,13 
ISODS Data Science & AI,93,15 
Better Data Science,877,22 
Data Science UA,1340,181 
Vienna Data Science Group,209,46 
Data Science and Data Engineering Series,66,4 
Rocketing Data Science,94,28 
Data Science Lovers,5190,56 
Metis Data Science Training,2070,115 
365 Data Science,179000,190 
Data Science Club,29,8 
Terra Cognita Data Science,26,4 
QAZ Data-Science,124,32 
DC Data Science,19,2 
Buffalo State Data Science and Analytics,14,23 
LSSTC Data Science Fellowship,204,50 
Women in Data Science Auckland,63,19 
Up data science,66,29 
Data Science Zero to Infinity,7,5 
NYC Data Science Academy,5790,169 
Institute for Data Science at Carleton University,16,9 
The Johns Hopkins Data Science Lab,1070,88 
Fun Data Science,516,28 
Michigan Institute for Data Science,180,84 
Lisbon Data Science Academy,4,1 
Data Science Graduate,12,16 
Data Science Wizards,94,22 
Lucid Data Analytics,146,10 
Data Science Era,715,9 
"Arpan Gupta Data Scientist, IITian",5940,123 
Data Science Nashville,32,15 
Data Science Challenge ITA,10,5 
Data Guru - Simplified Data Science,50,4 
Saima Data Science,1010,149 
Florida Data Science for Social Good (FL-DSSG),29,37 
Machine Learning and Data Science for Beginners,4470,642 
Data Science & Statistics,12,2 
Dutch Data Science Week,70,45 
Data Science Career Coach,10600,703 
Computer and Data Science Tutorials,1,9 
Data Science Center,1060,96 
Data Science and Programming 2021,8,23 
Data Science Leuven,181,12 
Data Science Sinhalen,213,5 
Data Science Festival,2850,179 
University of Wisconsin Data Science Master's Degree,50,1 
UofU Data Science,2190,"1,329 "
Data Analytics.m,392,21 
Data Science Tutorials,29000,688 
International Conference Mathematics Data science,69,2 
Data Science Novice,3,1 
Boise Data Science Meet-Up,28,12 
Data Science Alive,1560,35 
Fighting Churn With Data Science,64,22 
AUC Data Science Initiative,106,14 
Data Science Minneapolis,54,12 
Schlumberger DELFI Data Science Hackathon 2021,13,2 
Mr Data Science,4,2 
Data science,15,77 
Siraj Raval,712000,429 
The Data Science World,270,23 
Wayfair Data Science,1270,17 
LightHouse Lab,8,3 
Crafting Data Science,35,5 
Arabic Data Scientist,184,11 
AIEngineering,51700,252 
Data Science Made Easy,7,4 
R Data Science 101,1,1 
Jeremy Howard,53600,106 
Satyajit Pattnaik,7410,101 
Aegis TV,23600,"1,162 "
Deep Data Science,64,22 
Tina Huang,61900,99 
Intellipaat,969000,"2,059 "
Joma Tech,1030000,86 
edureka!,2640000,"4,253 "
360DigiTMG,26500,408 
Simplilearn,1060000,"2,688 "
ML Trainings,14200,492 
HVL Data Science,5,1 
